Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Верменич,Вадим,Петрович,Чоловік,1967-12-05,Фольклорист,село Луцьк,"площа Аеропортівський 3-й, буд. 89 кв. 809, Вуглегірськ, 70254",+380 95 789-78-42,roksolanakhomyk@example.org
Калениченко,Богуслав,Богданович,Чоловік,1977-03-14,Бібліотекар,місто Хоростків,"проспект Шампанський, буд. 3 кв. 10, Луцьк, 33057",314 11 39,oryna06@example.org
Дерегус,Олесь,Степанович,Чоловік,1979-02-12,Антрополог,хутір Рубіжне,"шосе Овідіопольська, буд. 7 кв. 392, Нова Каховка, 35367",047 445 31 77,hanna22@example.com
Данилюк,Омелян,Макарович,Чоловік,1958-02-11,Бібліограф,селище Обухів,"провулок Восьмого березня узвіз, буд. 41, Мала Виска, 95301",029 949 42 94,matviienkoedyta@example.net
Зінкевич,Демид,Григорович,Чоловік,1982-12-06,Будник,місто Петрово-Красносілля,"сквер Куликове поле, буд. 684 кв. 867, Кропивницький, 31889",069 191 80 41,vakhniimyroslav@example.org
Саченко,Іван,Олексійович,Чоловік,1992-09-03,Геолог,хутір Новий Калинів,"сквер Морська, буд. 1 кв. 5, Моршин, 93626",+380 35 622-18-57,leontiidutka@example.net
Теличенко,Стефан,Іванович,Чоловік,1983-11-14,Філолог,село Узин,"узвіз Марсельська, буд. 10 кв. 2, Шепетівка, 64063",+380 46 574 90 92,parmenhuk@example.org
Дубас,Гордій,Сергійович,Чоловік,1949-06-14,Філолог,село Городня,"шосе Першотравневий 3-й, буд. 160 кв. 9, Буринь, 86828",037 153 98 33,lukian85@example.net
Шахрай,Йосип,Сергійович,Чоловік,2001-09-13,Різноробочий,село Суми,"узвіз Троїцького Миколи, буд. 54, Путивль, 91978",075 788 28 25,nadiia64@example.org
Гунько,Йосип,Олександрович,Чоловік,1965-01-26,Музикант,селище Снятин,"набережна Хімічна, буд. 58, Сіверськ, 08157",099 803-70-09,iaroslavdemydenko@example.com
Данько,Амвросій,Васильович,Чоловік,1981-01-17,Менеджер,місто Світлодарськ,"набережна Лінія 54-та, буд. 1 кв. 02, Бахмут, 02906",+380 59 596-92-27,zorian64@example.org
Даньків,Ілля,Дмитрович,Чоловік,1970-08-30,Хімік,село Миколаївка ,"парк Академіка Вільямса, буд. 347 кв. 52, Гола Пристань, 57967",+380 59 915-28-29,iaremkivokhrim@example.com
Михалюк,Мартин,Олександрович,Чоловік,2002-06-23,Сантехнік,місто Рівне,"проспект Ювілейний 1-й, буд. 415 кв. 2, Мукачево, 47557",+380 23 023-42-59,solomiia33@example.com
Сиротенко,Веніямин,Михайлович,Чоловік,1994-12-13,Менеджер,селище Борислав,"парк Скляна, буд. 0 кв. 22, Новоселиця, 51946",024 026 90 32,pelekhklyment@example.net
Василевич,Костянтин,Павлович,Чоловік,1993-05-19,Електрик,село Борислав,"набережна Аеропортівський 1-й, буд. 144 кв. 57, Самбір, 67824",011 726 99 40,mykhailo45@example.net
Чередник,Ігор,Богданович,Чоловік,1980-01-24,Кіноактор,хутір Армянськ,"узвіз 3-тя Лінія Марії Демченко, буд. 16, Первомайський , 91668",046 892-55-58,olehredko@example.com
Щириця,Леонтій,Юрійович,Чоловік,2004-01-28,Геолог,село Марганець ,"парк Короткий, буд. 214 кв. 6, Кадіївка, 99030",+380 73 772 65 22,violetta82@example.org
Джус,Спас,Григорович,Чоловік,1970-08-04,Правник,хутір Лубни,"узвіз Писарева, буд. 77 кв. 30, Новий Калинів, 78515",004 115 23 24,anzhela81@example.com
Якименко,Лукʼян,Григорович,Чоловік,1942-07-22,Фотограф,місто Монастириська,"сквер Наявний 7-й, буд. 742, Молочанськ, 67195",+380 75 065 66 38,ievtushenkoodarka@example.net
Примаченко,Сергій,Михайлович,Чоловік,1964-02-19,Гірничий інженер,місто Ладижин,"сквер Середня, буд. 22, Алушта, 32156",+380 88 011 44 57,avhustyniatseniuk@example.net
Дейнека,Макар,Васильович,Чоловік,1940-07-06,Антрополог,хутір Дубно,"парк Трамвайний, буд. 339, Кам'янське, 50776",+380 28 802 41 04,alevtynchupryna@example.com
Давиденко,Демʼян,Юрійович,Чоловік,1987-03-12,Кіноактор,хутір Хрестівка,"набережна Матюшенка, буд. 2 кв. 992, Гірник , 18708",+380 28 914-29-83,albert20@example.org
Авраменко,Мартин,Дмитрович,Чоловік,1975-03-30,Ґрунтознавець,хутір Вознесенівка,"шосе Десята, буд. 6 кв. 2, Селидове, 33994",+380 (94) 610-75-58,yzaiets@example.net
Салій,Феофан,Федорович,Чоловік,2001-01-14,Актор,хутір Сімферополь,"набережна Лузанівка, буд. 2 кв. 568, Миронівка, 77393",+380 17 692 08 50,teodor27@example.net
Василенко,Борислав,Григорович,Чоловік,1991-10-14,Складальник,село Корюківка,"проспект Леваневського тупик, буд. 57, Лисичанськ, 45056",+380 (74) 312-92-92,petrokylymnyk@example.net
Каденюк,Вʼячеслав,Юрійович,Чоловік,1946-12-01,Провізор,село Підгайці,"проспект Донецька, буд. 0, Світлодарськ, 35685",630 77 82,protsenkopriska@example.net
Салій,Алевтин,Федорович,Чоловік,2000-04-18,Археолог,хутір Кадіївка,"парк Кордонний, буд. 4 кв. 4, Жовква, 15737",+380 81 611 60 44,eiashchenko@example.net
Жарко,Спас,Олегович,Чоловік,1987-03-14,Вчитель,хутір Буськ,"вулиця Бісквітний, буд. 42 кв. 6, Турка, 17287",048 827 70 07,shvachkaoleksandr@example.net
Архимович,Борислав,Петрович,Чоловік,1952-06-09,Паблік рилейшнз,місто Дубляни,"узвіз Лінія 24-та, буд. 31, Білогірськ, 21351",959 52 28,zasenkoteodor@example.net
Фаренюк,Лесь,Павлович,Чоловік,2004-10-03,Петрограф,село Ладижин,"шосе Басейний 4-й, буд. 519 кв. 8, Помічна, 58920",+380 54 071 59 32,albertaleksandrenko@example.com
Бевзенко,Йосип,Дмитрович,Чоловік,1963-03-09,Сантехнік,місто Сокиряни,"узвіз Разумовська, буд. 880 кв. 525, Українка , 23879",+380 49 153 52 62,leonidieromenko@example.org
Вдовиченко,Михайло,Богданович,Чоловік,1989-05-24,Геолог,хутір Бобринець,"шосе Краснослобідський, буд. 866 кв. 345, Кілія, 86410",325-05-66,ihor96@example.org
Василечко,Григорій,Андрійович,Чоловік,1996-05-06,Громадський діяч,село Славута,"парк Крутоярська, буд. 4 кв. 507, Макіївка, 94581",+380 55 654-45-65,tsavenko@example.org
Дубина,Степан,Павлович,Чоловік,2000-03-26,Конструктор,селище Красноперекопськ,"узвіз Зелена гірка, буд. 31, Зміїв, 44859",+380 (71) 687-65-73,spas84@example.net
Мазур,Климент,Михайлович,Чоловік,1940-08-20,Співак,місто Вашківці,"сквер Фонтанська дорога, буд. 484, Судак , 55695",054-54-93,larysa91@example.org
Гречко,Юхим,Михайлович,Чоловік,1963-10-10,Палеонтолог,хутір Гайсин,"набережна Стороженка Олега, буд. 345 кв. 6, Нововолинськ, 74644",097-29-92,oryna59@example.com
Дрозденко,Опанас,Михайлович,Чоловік,1977-10-10,Бізнесмен,селище Гребінка,"парк Тополина, буд. 8, Старий Самбір, 66233",034 537-94-40,ustym45@example.org
Джунь,Трохим,Григорович,Чоловік,1979-12-07,Мистецтвознавець,селище Бучач,"узвіз Компасний, буд. 00, Феодосія, 81700",+380 45 217-77-18,candroshchuk@example.org
Малик,Данило,Васильович,Чоловік,1991-07-10,Електрик,місто Новий Буг,"шосе Донцова Дмитра, буд. 0, Ічня, 39920",060 960 14 28,xtryhub@example.com
Гук,Азар,Макарович,Чоловік,1954-04-02,Живописець,село Жмеринка,"проспект Гвоздична, буд. 7, Красноград, 59741",+380 36 232-14-87,serhii50@example.org
Іваничук,Йосип,Григорович,Чоловік,1967-03-31,Сценарист,місто Коростишів,"парк Старобазарний, буд. 93, Корець, 40038",+380 65 344 42 49,simashkevychliubov@example.org
Щириця,Опанас,Павлович,Чоловік,1992-01-03,Швачка,місто Мена ,"набережна Естонський, буд. 91, Авдіївка, 96404",+380 37 793-13-33,bohdannaprokopovych@example.com
Рябець,Охрім,Іванович,Чоловік,1965-11-28,Футболіст,місто Молочанськ,"сквер Мала, буд. 02 кв. 284, Сквира, 73984",+380 83 292-99-20,volodymyrabarabash@example.org
Кабаненко,Богдан,Іванович,Чоловік,1982-03-13,Золотар,місто Ізюм,"узвіз Пересипська 7-ма, буд. 913, Гнівань, 67984",014 648-83-60,orysia53@example.com
Вернигора,Євген,Романович,Чоловік,2005-01-26,Фермер,хутір Тальне,"сквер Дельфін, буд. 3, Берестечко, 33902",008 271 38 98,adam32@example.org
Мамчур,Борислав,Сергійович,Чоловік,1958-07-17,М'ясник,село Борзна,"узвіз Спаський, буд. 9 кв. 08, Глухів, 69457",501 28 49,iustynashvedchenko@example.net
Гузенко,Орхип,Андрійович,Чоловік,1997-09-17,Доцент,село Полонне,"набережна Новощіпний ряд, буд. 147, Мостиська, 40858",329 19 50,solomiia72@example.net
Деряжний,Юстим,Олександрович,Чоловік,1957-07-02,Астроном,село Коростень,"проспект Таїрова, буд. 79, Турка, 06588",+380 53 124 42 18,ielysaveta49@example.net
Якимчук,Аарон,Олександрович,Чоловік,1970-08-12,Стоматолог,селище Алушта,"площа Світлий, буд. 02 кв. 085, Городенка, 89530",946 08 34,shyloadam@example.net
Верхола,Захар,Степанович,Чоловік,1945-09-10,Палеонтолог,селище Бердянськ,"провулок Селищний, буд. 4, Переяслав, 51011",458 82 09,pavlenkoihor@example.com
Батюк,Венедикт,Петрович,Чоловік,1945-04-18,Кур'єр,місто Хоростків,"вулиця Садова 5-та, буд. 25 кв. 049, Кременчук, 96558",064 345 08 41,ielysei95@example.org
Габелко,Сергій,Богданович,Чоловік,1951-11-11,Психолог,хутір Борислав,"узвіз Травневий 4-й, буд. 679, Червоноград, 37485",+380 07 312 06 90,stelizhenko@example.org
Чалий,Давид,Павлович,Чоловік,1967-06-14,Хореограф,хутір Ківерці,"проспект Світла, буд. 8 кв. 021, Жовква, 42227",075 736 08 90,kharchenkomaksym@example.com
Гоголь,Леопольд,Олегович,Чоловік,1951-07-28,Хореограф,село Волочиськ,"проспект Сергія Ядова, буд. 0, Бурштин , 47669",098 715-90-93,cherinkoanzhela@example.org
Чумаченко,Тимофій,Дмитрович,Чоловік,1944-07-23,Адвокат,селище Новий Калинів,"вулиця Лінійний, буд. 3 кв. 413, Сєвєродонецьк, 70471",095 348-66-35,kredko@example.org
Хомик,Вадим,Іванович,Чоловік,1944-03-05,Державний службовець,хутір Обухів,"проспект Злакова, буд. 62 кв. 964, Вінниця, 30376",089 595-32-04,liubov12@example.net
Вертипорох,Демʼян,Володимирович,Чоловік,1982-09-14,Менеджер,селище Овруч,"площа Жоліо-Кюрі, буд. 08, Ананьїв, 59561",737 80 34,hreva@example.org
Заруба,Зорян,Богданович,Чоловік,1940-12-29,Ветеринар,хутір Хотин,"провулок Тепла, буд. 77 кв. 6, Збараж, 03909",+380 92 125 99 59,arsenriabovil@example.com
Ажажа,Дан,Макарович,Чоловік,1961-10-01,Журналіст,село Світлодарськ,"площа Лінія 48-ма, буд. 6, Чорноморськ, 34194",+380 51 794-13-99,ptsybulenko@example.com
Сірко,Андрій,Павлович,Чоловік,1985-10-05,Астроном,селище Судова Вишня,"провулок Басейний 2-й, буд. 7 кв. 2, Васильків, 16248",+380 91 877-32-48,pprymachenko@example.net
Савенко,Стефан,Юрійович,Чоловік,1939-09-20,Різноробочий,місто Тлумач,"шосе Бузковий 1-й, буд. 5, Запоріжжя, 19190",+380 (78) 939-09-83,lizaruban@example.org
Вакуленко,Станіслав,Володимирович,Чоловік,1973-01-09,Архітектор,хутір Біляївка,"площа Міцкевича, буд. 7 кв. 99, Щастя , 19333",+380 19 004-50-35,shovkopliasmaryna@example.org
Баклан,Лесь,Олександрович,Чоловік,1988-09-09,Публіцист,хутір Молодогвардійськ,"парк Лінійна, буд. 38 кв. 3, Первомайськ, 13003",+380 (30) 323-72-46,hhres@example.com
Козак,Тимофій,Богданович,Чоловік,1945-04-30,Математик,село Дунаївці,"узвіз Чапаєва, буд. 0, Буринь, 19081",774-75-72,epavlychenko@example.com
Пустовіт,Онисим,Григорович,Чоловік,1938-11-13,Провізор,селище Баштанка,"проспект Гоголя, буд. 761, Лозова , 33532",+380 (98) 858-46-04,oleksandr82@example.org
Семенченко,Євген,Олексійович,Чоловік,1956-02-14,Намотувальник,село Заставна,"вулиця Юннатів 2-й, буд. 52, Бережани, 90797",025 811-67-40,imykhailiuk@example.com
Гунько,Марко,Макарович,Чоловік,2002-03-03,Підприємець,хутір Пологи ,"вулиця Митракова, буд. 544, Сторожинець, 28171",+380 54 999-36-36,deriazhnyiolena@example.com
Якименко,Ярема,Богданович,Чоловік,1974-12-03,Секретар,селище Угнів,"площа Тимірязєва 5-й, буд. 88 кв. 8, Лозова , 04739",+380 78 581-72-16,boryslavchaban@example.net
Запорожець,Марко,Макарович,Чоловік,1943-03-10,Стиліст,селище Жашків,"парк Тепличний 2-й, буд. 34 кв. 69, Бердянськ, 37826",+380 54 479-30-88,maryna78@example.com
Нестеренко,Святослав,Макарович,Чоловік,1944-12-19,Електрик,село Мар'їнка,"набережна Аеродромний 2-й, буд. 12, Помічна, 14861",+380 (42) 642-03-21,les47@example.net
Кармалюк,Микита,Романович,Чоловік,1945-04-12,Промисловець,село Кривий Ріг,"набережна Бузковий, буд. 94 кв. 14, Батурин, 73373",+380 69 008-05-82,bakumenkoliza@example.net
Товстоліс,Спас,Сергійович,Чоловік,1961-09-30,Золотар,місто Нікополь,"шосе Шовкуненка, буд. 729 кв. 7, Жидачів, 43474",+380 38 428-63-43,solomon41@example.org
Башполченко,Йосип,Вікторович,Чоловік,1945-07-11,Нотаріус,хутір Рівне,"шосе Дорожня, буд. 09, Снятин, 39790",086 845 01 69,mykhaliukvolodymyra@example.com
Чайка,Петро,Богданович,Чоловік,2004-05-02,Кінолог,хутір Лозова ,"вулиця Наявний 1-й, буд. 048 кв. 383, Васильків, 10224",+380 77 993 62 18,iartemenko@example.net
Хмара,Федір,Богданович,Чоловік,1966-09-11,Палеонтолог,хутір Шумськ,"площа Бірюкова, буд. 36 кв. 996, Почаїв, 03460",575-73-78,aarkhypenko@example.org
Барабаш,Аркадій,Павлович,Чоловік,1954-06-28,Економіст,селище Ізюм,"проспект Штабний, буд. 7, Тростянець, 51689",+380 51 237-60-12,martynbabenko@example.org
Щириця,Артем,Павлович,Чоловік,1968-11-09,Акушер,хутір Джанкой,"площа Скидановська, буд. 3, Жовті Води, 38331",+380 02 404 36 26,korbutanastasiia@example.org
Базилевський,Станіслав,Володимирович,Чоловік,1960-05-13,Доцент,селище Мелітополь,"проспект Маринеско узвіз, буд. 86, Федорівка, 54549",747-08-25,havryliukdmytro@example.com
Деревʼянко,Леон,Олександрович,Чоловік,1986-06-22,Бухгалтер,місто Українка ,"проспект Косовський, буд. 55 кв. 7, Часів Яр, 14346",+380 30 783-78-79,nazarbabiichuk@example.net
Вдовиченко,Семен,Вікторович,Чоловік,2003-06-09,Пекар,місто Тлумач,"узвіз Обсерваторний, буд. 054 кв. 3, Моспине, 27737",041 444-11-28,vashchukveniiamyn@example.net
Оніщук,Тарас,Богданович,Чоловік,1999-01-15,Археолог,село Надвірна,"сквер Виноградна, буд. 9, Одеса, 44912",+380 53 548 60 34,neporozhniiostap@example.com
Примаченко,Аврелій,Романович,Чоловік,1940-01-18,Слідчий,хутір Моршин,"шосе Короленка, буд. 96 кв. 269, Роздільна, 16618",+380 27 008 34 09,daryna90@example.com
Жаліло,Хома,Васильович,Чоловік,1960-08-01,Круп'є,хутір Бахмач,"проспект Травневий 2-й, буд. 60, Мирноград, 50547",841-72-39,lprokopovych@example.com
Якимчук,Леон,Васильович,Чоловік,1991-06-06,Фотограф,село Молодогвардійськ,"провулок Олександра Невського 2-й, буд. 056 кв. 6, Жовква, 13190",045 015-10-99,davydieresko@example.com
Ващенко,Орест,Вікторович,Чоловік,2006-05-26,Випробувач,село Жмеринка,"шосе Лиманний, буд. 9 кв. 3, Великі Мости, 99464",284-97-85,ishchakdaryna@example.net
Єресько,Веніямин,Сергійович,Чоловік,1956-01-23,Випробувач,селище Біляївка,"сквер Чапаєва, буд. 61, Українськ, 30955",+380 13 079-01-33,kdashkevych@example.org
Шинкаренко,Володимир,Васильович,Чоловік,2005-05-14,Драматург,село Ватутіне,"узвіз Данила Крижанівського, буд. 5, Снятин, 54752",+380 27 944 19 18,qalekseienko@example.org
Козаченко,Демид,Васильович,Чоловік,1955-07-25,Няня,селище Охтирка,"парк Гоголя, буд. 13, Винники, 31696",+380 (31) 435-38-69,wrudko@example.com
Гречаник,Володимир,Михайлович,Чоловік,1953-02-07,Кінорежисер,селище Жовква,"проспект Лінія 52-га, буд. 2, Ніжин, 96928",184-36-09,stefanbabychenko@example.net
Вакуленко,Варфоломій,Олексійович,Чоловік,1947-01-31,Піаніст,місто Скалат,"набережна Станційна 3-тя, буд. 5, Долина , 74609",+380 02 436 13 74,liudmyla52@example.org
Павлик,Опанас,Макарович,Чоловік,1964-07-20,Сценарист,місто Бережани,"вулиця Газова, буд. 998, Першотравенськ, 99938",+380 74 547 69 20,larysaiemelianenko@example.net
Терещук,Симон,Дмитрович,Чоловік,1963-08-20,Дизайнер,село Гадяч,"парк Кутова, буд. 792, Гайсин, 49908",191 99 36,vladyslav84@example.com
Вергун,Остап,Романович,Чоловік,1959-06-15,Стиліст,місто Долина ,"набережна Надіїі, буд. 57 кв. 31, Кадіївка, 39763",+380 91 303-50-10,venedykt13@example.com
Титаренко,Богдан,Васильович,Чоловік,1954-02-19,Педагог,селище Новоселиця,"набережна Лінія 40-ва, буд. 988, Зоринськ, 79208",043 259-45-41,orysiahavriushenko@example.org
Червоненко,Станіслав,Романович,Чоловік,1974-05-13,Вчитель,селище Моршин,"набережна 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 98, Подільськ, 01246",+380 14 481 53 64,spas90@example.org
Вернидуб,Данило,Федорович,Чоловік,1967-12-18,Євнух,місто Чуднів,"шосе 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 00, Армянськ, 80705",+380 17 269-00-39,klavdiia28@example.org
Павличенко,Лесь,Дмитрович,Чоловік,2007-05-31,Драматург,хутір Чорноморськ,"узвіз Лінія 26-та, буд. 009, Інкерман, 83873",+380 (73) 538-79-87,ievhenzinchenko@example.org
Лагода,Едуард,Степанович,Чоловік,1999-07-28,Паралегал,хутір Корець,"сквер Квітковий, буд. 690, Щастя , 95490",012 09 29,daryna99@example.org
Величко,Павло,Петрович,Чоловік,1953-07-26,Ґрунтознавець,місто Нововолинськ,"набережна Трояндова, буд. 9, Мала Виска, 67267",+380 15 425-45-49,revaopanas@example.com
Євдокименко,Йосип,Григорович,Чоловік,1964-03-04,Художник,місто Дубровиця,"узвіз Вузький, буд. 810, Кам'янка-Бузька, 15106",+380 (67) 628-39-77,zynoviibaklan@example.net
Ярош,Олекса,Олегович,Чоловік,1948-01-21,Краєзнавець,місто Берегове,"шосе Астрономічна, буд. 26 кв. 28, Донецьк, 36100",+380 79 159-14-11,volodymyrakyrylenko@example.net
Гайдабура,Лукʼян,Макарович,Чоловік,1973-04-30,Пілот,селище Мала Виска,"вулиця Софіївська, буд. 3, Жмеринка, 18485",+380 25 419-45-44,iurchuksymon@example.net
Хоменко,Юхим,Степанович,Чоловік,1975-03-21,Ботанік,місто Олевськ,"узвіз Середня, буд. 9 кв. 312, Дубляни, 40116",+380 69 697-46-16,edytavalenko@example.org
Гоголь-Яновський,Герман,Володимирович,Чоловік,1976-09-24,Паралегал,хутір Ізяслав,"шосе Волоколамська, буд. 873, Новомиргород, 35335",+380 37 776-95-65,klyment31@example.org
Дубенко,Пилип,Павлович,Чоловік,1970-02-06,Секретар,хутір Перевальськ,"шосе Академіка Гаркавого, буд. 62 кв. 35, Синельникове, 35232",+380 (22) 349-10-19,symonshcherban@example.com
Лесик,Теодор,Володимирович,Чоловік,1948-10-21,Золотар,селище Фастів,"парк Восьмого березня 2-й, буд. 89 кв. 4, Дрогобич, 93302",+380 45 663-01-80,vadym12@example.com
Єщенко,Владислав,Олексійович,Чоловік,1954-02-24,Реабілітолог,селище Кодима,"вулиця Коцюбинського, буд. 4, Амвросіївка, 67244",+380 84 070 59 14,glytvynenko@example.net
Охріменко,Василь,Степанович,Чоловік,1942-06-17,Кур'єр,селище Первомайськ,"площа Наявний 5-й, буд. 999, Вараш, 38561",389 62 95,larysapavlyk@example.net
Авраменко,Ігор,Макарович,Чоловік,1967-05-19,Програміст,місто Часів Яр,"шосе Щукіна, буд. 6, Алчевськ, 11673",+380 76 882-08-89,ikashchenko@example.net
Архимович,Давид,Вікторович,Чоловік,1980-12-26,Професор,селище Часів Яр,"площа Вишнева, буд. 987, Лохвиця, 78203",+380 43 076 46 49,cpavlenko@example.net
Петлюра,Сергій,Юрійович,Чоловік,1994-05-27,Режисер,село Кропивницький,"сквер Смоленська, буд. 620, Вінниця, 73028",527 31 40,rievdokymenko@example.org
Вдовенко,Мирослав,Сергійович,Чоловік,1984-03-06,Клавішник,хутір Городище ,"сквер Кустанайська, буд. 829, Іловайськ, 35286",+380 76 725-37-32,vradchenko@example.com
Демʼяненко,Климент,Макарович,Чоловік,2001-02-11,Журналіст,хутір Сарни,"набережна Шептицікого, буд. 14 кв. 046, Васильків, 45588",505 10 60,halyna02@example.org
Рябовіл,Миколай,Макарович,Чоловік,1952-06-30,Кур'єр,селище Підгайці,"площа Лінія 39-та, буд. 098, Долинська, 83402",005-73-10,petroopanasenko@example.org
Мазепа,Дмитро,Петрович,Чоловік,1993-11-12,Мистецтвознавець,селище Заліщики,"провулок 10-та Суворовська, буд. 956 кв. 83, Українка , 37279",+380 (36) 695-22-50,viktorreva@example.net
Ющенко,Сергій,Макарович,Чоловік,1970-06-22,Гицель,селище Жовква,"узвіз Травневий 3-й, буд. 928 кв. 09, Антрацит , 98370",+380 27 066 71 82,idubas@example.net
Акименко,Олесь,Дмитрович,Чоловік,1999-09-03,Кінокритик,селище Покров,"провулок Садова 6-та, буд. 184, Енергодар, 55521",795 31 80,zlatoslava32@example.com
Яремко,Вадим,Сергійович,Чоловік,1987-08-12,Електротехнік,село Знам'янка,"вулиця Сурикова 2-й, буд. 69 кв. 69, Стебник, 44285",070 939 20 72,iefrem70@example.net
Чуйко,Зиновій,Вікторович,Чоловік,1992-06-29,Хореограф,село Городня,"узвіз Ярморочна площа, буд. 9, Вишневе , 46623",+380 94 234 72 10,bohdanna24@example.net
Салій,Єфрем,Федорович,Чоловік,1947-05-04,Круп'є,хутір Знам'янка,"шосе Аркадіївський, буд. 9 кв. 56, Сорокине, 95678",752 57 15,oryna03@example.com
Забарний,Пармен,Павлович,Чоловік,1950-06-11,Бухгалтер,місто Помічна,"шосе Рожева, буд. 995 кв. 225, Торецьк, 07573",+380 46 032 29 38,ruslan47@example.com
Скоробогатько,Азар,Богданович,Чоловік,1990-07-14,Електромонтажник,селище Червоносів,"набережна Заньковецької, буд. 15 кв. 62, Покровськ, 60122",737-62-57,nshtokalo@example.org
Ірванець,Євген,Андрійович,Чоловік,1961-05-24,Клавішник,селище Тараща,"парк Бессарабська, буд. 4, Хмельницький, 31286",050 515-09-24,jhuz@example.com
Канівець,Захар,Іванович,Чоловік,1943-03-23,Візажист,місто Харків,"площа Лейтенанта Шмідта, буд. 257, Курахове, 06732",013 579 50 33,orkhyp35@example.com
Ткаченко,Демʼян,Федорович,Чоловік,1952-01-22,Музикант,місто Кипуче,"шосе Дунайська, буд. 856 кв. 242, Хмільник, 36381",340-63-90,kshchyrytsia@example.com
Бевз,Василь,Петрович,Чоловік,1968-03-13,Фармацевт,місто Керч,"парк Косвена, буд. 3, Волноваха, 10186",051 014 36 02,orestorobets@example.org
Чекалюк,Борис,Васильович,Чоловік,1982-06-20,Перекладач,хутір Керч,"проспект Донецька, буд. 5 кв. 80, Кам'янка-Дніпровська, 79462",+380 68 855-59-48,makar50@example.com
Дубина,Гліб,Михайлович,Чоловік,1976-11-22,Психолог,село Погребище,"парк Кримський, буд. 86 кв. 94, Монастириська, 39612",+380 78 848-09-63,rvasylevych@example.org
Базилевич,Владислав,Олександрович,Чоловік,1949-03-05,Льотчик,хутір Міусинськ,"площа Чехова, буд. 25 кв. 246, Біла Церква, 15672",080 698-19-25,tymofii85@example.org
Цюцюра,Трохим,Степанович,Чоловік,1979-04-03,Етнограф,селище Генічеськ,"парк Глазунова 1-й, буд. 594, Тернівка , 51199",131 45 65,qpavlenko@example.org
Зінченко,Макар,Олегович,Чоловік,1990-10-04,Палеонтолог,село Лисичанськ,"проспект Олександра Невського 5-й, буд. 93 кв. 88, Коростишів, 89029",+380 (83) 531-99-14,zzabarnyi@example.org
Алексеєнко,Гаврило,Юрійович,Чоловік,1986-04-23,Паралегал,село Буськ,"шосе Братів Поджіо, буд. 4, Жмеринка, 17204",758 12 64,vitalii73@example.com
Бабенко,Алевтин,Олександрович,Чоловік,1993-10-05,Слідчий,хутір Сквира,"сквер Пироговська, буд. 27 кв. 91, Сулимівка (Слов'янськ), 30582",681-84-26,yzhuravel@example.org
Гайдабура,Франц,Дмитрович,Чоловік,1983-06-20,Громадський діяч,селище Кодима,"шосе Новосельского, буд. 181, Єнакієве, 29376",+380 94 172-05-47,varvaraprymachenko@example.com
Чаленко,Костянтин,Павлович,Чоловік,1984-05-08,Актор,хутір Гнівань,"сквер Красносільська, буд. 5 кв. 6, Сколе, 78498",+380 98 806 98 46,trokhymdanchuk@example.net
Фартушняк,Феофан,Богданович,Чоловік,1976-10-08,Кінокритик,хутір Зміїв,"провулок Черепанових, буд. 4 кв. 49, Генічеськ, 49471",+380 49 993-10-08,viktoriiashvaika@example.com
Дахно,Пилип,Петрович,Чоловік,1971-08-20,Кінорежисер,селище Богуслав,"узвіз Перемоги, буд. 1 кв. 57, Дунаївці, 27719",952-66-40,isaienkomarusia@example.org
Шаповал,Валентин,Федорович,Чоловік,1958-08-10,Соціолог,хутір Київ,"проспект Пестеля, буд. 6 кв. 24, Бережани, 44697",918 11 76,vertyporokhpanteleimon@example.net
Твердохліб,Миколай,Олександрович,Чоловік,1991-02-25,Письменник,місто Вараш,"провулок Могилівська, буд. 2 кв. 7, Саки , 43545",+380 10 037-53-50,odrozdenko@example.org
Бабʼяк,Валерій,Сергійович,Чоловік,1952-01-16,Бізнесмен,село Теплодар,"проспект 11-та ст. Великого Фонтану пляж, буд. 8 кв. 72, Дубляни, 64106",098 746-97-14,vasylynagerega@example.com
Верховинець,Святослав,Романович,Чоловік,1967-02-12,Головний меркшейдер,хутір Харків,"сквер Героїв оборони Одеси, буд. 5 кв. 900, Радехів, 43518",982 38 34,ihorzatula@example.org
Юхименко,Віталій,Олегович,Чоловік,1966-01-21,Дантист,хутір Теребовля,"парк Кифоренка Бориса, буд. 71 кв. 1, Ірпінь, 89029",+380 35 283 60 90,aleksiichukmarko@example.net
Бабко,Ярослав,Сергійович,Чоловік,1963-10-12,Композитор,місто Торецьк,"провулок Артилерійська, буд. 731 кв. 31, Новомосковськ, 52084",021 260 14 42,korpaniukmaryna@example.org
Дейнеко,Левко,Іванович,Чоловік,1949-09-06,Письменник,хутір Новогродівка,"вулиця Хутірський, буд. 52 кв. 0, Хрестівка, 40420",+380 57 884-33-79,symon25@example.com
Яремків,Андрій,Вікторович,Чоловік,1972-05-09,Футболіст,хутір Добропілля,"площа Лобачевського, буд. 0, Красноград, 44664",+380 35 070-32-80,onysym88@example.com
Петренко,Лесь,Богданович,Чоловік,1968-09-08,Дантист,село Старий Самбір,"сквер Троїцька, буд. 1, Новгород-Сіверський, 76626",076 720-08-24,khrystynaishchak@example.net
